City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Fortuna,40.6,-124.16,69.01,77,40,10.29,US,1596146101
Qaanaaq,77.48,-69.36,43.05,63,19,5.55,GL,1596145545
Esperance,-33.87,121.9,44.6,100,40,5.82,AU,1596145834
Cabo San Lucas,22.89,-109.91,89.6,58,5,14.99,MX,1596145767
Port Alfred,-33.59,26.89,56.71,85,27,7.63,ZA,1596145765
Port Elizabeth,-33.92,25.57,53.6,93,3,5.82,ZA,1596145823
Rikitea,-23.12,-134.97,72.79,87,98,13.24,PF,1596146066
Novikovo,51.15,37.89,64.06,83,46,5.03,RU,1596146298
Havre-St-Pierre,50.23,-63.6,60.8,100,90,9.17,CA,1596146298
Thompson,55.74,-97.86,77.0,61,75,3.36,CA,1596145853
Gizo Government Station,-8.1,156.84,82.24,81,100,15.55,SB,1596146129
Nanortalik,60.14,-45.24,43.7,86,100,10.63,GL,1596146283
Hermanus,-34.42,19.23,45.0,95,0,5.79,ZA,1596146152
Ilulissat,69.22,-51.1,48.2,57,40,3.36,GL,1596146299
Nainpur,22.43,80.12,77.7,81,99,2.33,IN,1596146299
Saint-Philippe,-21.36,55.77,69.01,77,75,3.36,RE,1596146154
Albany,42.6,-73.97,82.0,68,95,6.64,US,1596146075
Ponta do Sol,32.67,-17.1,69.8,68,40,11.41,PT,1596145550
Lodwar,3.12,35.6,86.41,41,48,14.85,KE,1596146300
Dukat,62.55,155.55,39.54,88,100,13.2,RU,1596146300
Brae,60.4,-1.35,51.8,87,100,8.05,GB,1596146082
Mahébourg,-20.41,57.7,69.8,88,75,4.7,MU,1596145778
Molchanovo,57.58,83.77,47.68,96,3,4.05,RU,1596146301
Castrillón,43.4,-6.79,69.8,73,20,14.99,ES,1596146301
Moberly,39.42,-92.44,80.01,80,84,4.0,US,1596146165
Touros,-5.2,-35.46,75.2,73,20,5.82,BR,1596145818
Lüderitz,-26.65,15.16,82.4,14,0,19.46,NA,1596145543
Chërnaya Kholunitsa,58.85,51.72,59.61,97,76,9.35,RU,1596146302
Kruisfontein,-34.0,24.73,51.01,87,0,5.84,ZA,1596146302
Khatanga,71.97,102.5,61.74,56,26,9.6,RU,1596145783
Narsaq,60.92,-46.05,48.2,81,100,9.17,GL,1596145807
Coyhaique,-45.58,-72.07,37.4,64,75,4.7,CL,1596145657
Sinnamary,5.38,-52.95,80.04,77,9,4.99,GF,1596145801
Praia da Vitória,38.73,-27.07,71.6,78,75,11.65,PT,1596146303
Tuktoyaktuk,69.45,-133.04,62.6,72,90,8.05,CA,1596145519
Salinópolis,-0.61,-47.36,80.76,78,93,6.62,BR,1596145872
Puerto Ayora,-0.74,-90.35,77.0,61,20,14.99,EC,1596145516
Kudahuvadhoo,2.67,72.89,82.31,77,54,14.79,MV,1596145795
Tura,25.52,90.22,74.1,96,96,4.59,IN,1596145858
Rusape,-18.53,32.13,50.99,52,0,6.38,ZW,1596146305
Bluff,-46.6,168.33,47.59,93,100,5.66,NZ,1596145791
Jamestown,42.1,-79.24,77.0,53,75,8.05,US,1596145605
Codrington,-38.27,141.97,41.72,92,69,9.71,AU,1596145885
Vaini,-21.2,-175.2,71.6,73,20,10.29,TO,1596145787
Sørland,67.67,12.69,62.6,72,74,4.7,NO,1596145887
Kapaa,22.08,-159.32,82.4,69,40,16.11,US,1596145556
Busselton,-33.65,115.33,50.0,85,27,8.08,AU,1596145769
Normandin,48.83,-72.53,71.6,68,75,9.17,CA,1596146307
Avarua,-21.21,-159.78,71.6,56,100,6.93,CK,1596145794
Lavrentiya,65.58,-171.0,47.08,86,100,9.53,RU,1596145620
Nabire,-3.37,135.48,75.45,91,100,5.1,ID,1596146308
Ushuaia,-54.8,-68.3,31.17,94,56,4.43,AR,1596145764
New Norfolk,-42.78,147.06,48.99,86,100,2.53,AU,1596145777
Oistins,13.07,-59.53,84.2,74,40,18.34,BB,1596146071
Mataura,-46.19,168.86,46.87,86,100,1.81,NZ,1596145779
Marsh Harbour,26.54,-77.06,84.58,75,70,9.89,BS,1596146309
Tekeli,44.83,78.82,60.64,31,100,8.32,KZ,1596146309
Yellowknife,62.46,-114.35,69.8,49,75,18.34,CA,1596145764
College,64.86,-147.8,75.99,60,75,4.7,US,1596145766
Chui,-33.7,-53.46,45.32,85,0,8.3,UY,1596145768
Hobart,-42.88,147.33,48.99,70,75,11.41,AU,1596145779
Kalmunai,7.42,81.82,79.9,74,97,5.64,LK,1596146310
Ondangwa,-17.92,15.95,64.4,27,0,5.82,NA,1596146310
Souillac,-20.52,57.52,69.8,88,75,4.7,MU,1596145579
Labuan,5.28,115.24,77.0,100,20,1.12,MY,1596146311
Millbury,42.19,-71.76,84.99,51,1,9.17,US,1596146311
Half Moon Bay,37.46,-122.43,73.99,77,75,8.66,US,1596146082
Cayenne,4.93,-52.33,84.2,74,17,4.7,GF,1596145829
Anadyr,64.75,177.48,53.6,71,75,11.18,RU,1596146312
Butaritari,3.07,172.79,81.34,77,70,4.99,KI,1596145534
Atuona,-9.8,-139.03,79.03,75,7,18.12,PF,1596145772
Agüimes,27.91,-15.45,73.4,69,40,21.92,ES,1596146312
Klaksvík,62.23,-6.59,50.0,93,100,13.87,FO,1596145820
Hilo,19.73,-155.09,84.2,54,90,8.05,US,1596145539
Kununurra,-15.77,128.73,59.0,37,0,4.7,AU,1596146313
Carutapera,-1.2,-46.02,75.97,91,88,6.33,BR,1596145815
San Cristobal,7.77,-72.22,87.8,48,40,25.28,VE,1596145809
Grand Gaube,-20.01,57.66,68.0,84,1,3.0,MU,1596145841
Pithoro,25.52,69.38,88.21,64,89,13.6,PK,1596146314
Oranjestad,12.52,-70.03,89.6,62,20,8.05,AW,1596146302
Chicama,-7.84,-79.15,68.36,61,11,8.59,PE,1596146314
Surin,14.88,103.49,81.0,99,100,6.4,TH,1596146315
Dikson,73.51,80.55,52.7,73,100,10.18,RU,1596145786
Tasiilaq,65.61,-37.64,48.2,66,96,4.7,GL,1596145776
Faya,18.39,42.45,66.2,88,40,4.7,SA,1596145854
Olafsvik,64.89,-23.71,50.7,76,95,7.25,IS,1596145835
Laguna,38.42,-121.42,95.0,25,1,9.17,US,1596145544
Chabahar,25.29,60.64,84.07,85,3,15.1,IR,1596146316
Neuquén,-38.95,-68.06,53.6,49,31,11.41,AR,1596146111
Mujiayingzi,42.12,118.78,72.21,68,100,7.36,CN,1596145646
Merauke,-8.47,140.33,75.56,80,1,15.39,ID,1596146225
Nokaneng,-19.67,22.27,58.05,34,0,6.67,BW,1596146317
Carnarvon,-24.87,113.63,60.8,100,0,10.29,AU,1596145581
Kanniyākumāri,8.08,77.57,79.75,81,60,16.31,IN,1596146317
Nueva Loja,0.08,-76.88,82.4,69,40,6.93,EC,1596146318
Geraldton,-28.77,114.6,46.4,100,90,8.05,AU,1596145825
Zatoka,46.07,30.47,80.6,54,20,8.95,UA,1596146318
Kargat,55.2,80.28,51.62,87,89,7.0,RU,1596146318
Harper,4.38,-7.72,75.61,84,90,7.43,LR,1596145814
Esim,4.87,-2.24,74.32,87,11,7.0,GH,1596145849
Najrān,17.49,44.13,82.4,58,40,13.87,SA,1596146319
Yashkul',46.17,45.34,78.35,24,5,9.46,RU,1596146319
Tongchuanshi,35.08,109.09,73.45,68,93,1.43,CN,1596146319
Itanagar,27.1,93.62,73.2,91,81,1.05,IN,1596146119
Kamenka,51.32,42.77,70.0,76,100,1.99,RU,1596145779
Cowra,-33.83,148.68,37.99,98,0,1.54,AU,1596146320
Cidreira,-30.18,-50.21,55.4,77,0,13.47,BR,1596145805
Lorengau,-2.02,147.27,84.34,67,100,3.38,PG,1596145773
Huarmey,-10.07,-78.15,65.8,69,2,9.22,PE,1596146321
Yazman,29.12,71.74,99.75,33,43,11.74,PK,1596146321
Sola,-13.88,167.55,80.6,94,90,15.23,VU,1596145810
East London,-33.02,27.91,60.67,75,76,6.02,ZA,1596145782
Norman Wells,65.28,-126.83,73.4,56,75,10.29,CA,1596145832
